text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,,,accuracy,possible
"This business plan must be completed and approved by the ODL Steering Committee no later than September 30, 2003","[0, 0, 100, 20]",2,11.04,19,0,0.047,0.157894737,0.263157895,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999994257,Text/Paragraph,,,TRUE,FALSE
Timeline:,"[0, 0, 100, 20]",2,11.04,1,0,0.0045,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.996518395,Title/Heading,,,TRUE,TRUE
Those firms/consultants intended to submit a proposal to this RFP must indicate their intention to do so in an e-mail to Michael Ridley mridley@uoguelph.ca bymailto:mridley@uoguelph.ca April 11 th .,"[0, 0, 100, 20]",2,11.04,29,0,0.085,0.129032258,0.142857143,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999999986,Text/Paragraph,,,TRUE,FALSE
"Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore lmoore@accessola.com, Executive Director, The Ontario Library Association,mailto:lmoore@accessola.com 100 Lombard St., Suite 303, Toronto, ON M5C 1M3. Proposals must be received by Noon on Monday, April 21, 2003.","[0, 0, 100, 20]",2,10.77,38,0,0.1225,0.19047619,0.422222222,0,0,-20,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"Those proposals that are short-listed will be invited to discuss their proposal during the week of April 28, 2003 . No presentation will be expected. Firms or consultants invited to an interview will be expected to discuss the project and their approach with the selection committee .","[0, 0, 100, 20]",2,11.04,47,0,0.119,0.222222222,0.086956522,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"Contracts with the firm/consultant will be signed the week of May 5, 2003 with the work to commence as soon as possible thereafter. RFP: To Develop the Ontario Digital Library Business Plan March 2003 2","[0, 0, 100, 20]",2,9.88,35,0,0.084,0.114285714,0.305555556,0,0,-20,0,1,0,3.48,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
Please note that we reserve the right not to select any of the submitted proposals and may seek further response to these Terms of Reference.,"[0, 0, 100, 20]",3,11.04,25,0,0.0585,0.16,0.12,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999940278,Text/Paragraph,,,TRUE,FALSE
"If you require further information or have any questions, please contact Michael Ridley by email mridley@uoguelph.camailto:mridley@uoguelph.ca only by 3:00 p.m. on Friday April 18th . All questions and responses will be shared with those who have indicated that they will be submitting a proposal. Please note, that firms/consultants who have not indicated in an e-mail to Michael Ridley by April 11 th that they will be submitting a proposal will not receive any further information or question responses.","[0, 0, 100, 20]",3,11.04,78,0,0.2145,0.175,0.11627907,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
Background,"[0, 0, 100, 20]",3,12,1,0,0.005,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0.999931489,Title/Heading,,,TRUE,TRUE
"First, some background on the ODL. For the last two years the Ontario Library Association has acted as a catalyst, bringing together the stakeholders needed to create the Ontario Digital Library ODL. These stakeholders include Ontario’s 5000+ public libraries, university, college, and school libraries, as well as Ontario government ministries.","[0, 0, 100, 20]",3,11.04,50,0,0.148,0.134615385,0.254901961,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"Libraries that serve very different clientele recognize that by working together they can create seamless access to quality electronic library services. Through the ODL, students will be able to explore a topic at school, use the same child-safe resources after school either at home or at a public library, enter college or university with a knowledge of how to use electronic resources that are still available and then, after graduation, continue to use these skills and resources at work or at home.","[0, 0, 100, 20]",3,11.04,82,0,0.211,0.158536585,0.036144578,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"We are moving into a period of convergence. With convergence we no longer have to license commercial products as individual libraries or institutions. We can work together to spend our money wisely. The provincial government has made this possible by working hard to provide all Ontarians with a stable, high-speed communications infrastructure. While there is still a great deal of work needed to improve this infrastructure, libraries are beginning to plan how best to exploit communications technology. We can reduce barriers to access and create the content infrastructure needed to support a knowledge society.","[0, 0, 100, 20]",3,11.04,94,0,0.261,0.223404255,0.073684211,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"The concept of an ODL is a key element in The Roadmap to Prosperity, a strategic plan to envision and attain Ontario’s economic goal prepared by the Ontario Jobs and Investment Board. The OJIB strategic plan recommends an electronic library to “connect students to new workplaces, new sources of information and applied learning opportunities”. The ODL will do that and much more. The ODL will connect students to electronic information, and will also leverage this investment to help connect all citizens to the electronic information they need as they make decisions, solve problems and enhance their quality of life.","[0, 0, 100, 20]",3,11.04,99,0,0.2605,0.155339806,0.16,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"Libraries have long been a key delivery point for public services. The ODL will allow that delivery point to move closer to citizens, into the smallest of libraries and even into living rooms.","[0, 0, 100, 20]",3,11.04,33,0,0.08,0.151515152,0.090909091,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999999971,Text/Paragraph,,,TRUE,FALSE
"Libraries have a long tradition of using a practical, consultative approach to solving problems, and of learning from others. The ODL is a very practical solution to various problems.","[0, 0, 100, 20]",3,11.04,29,0,0.0775,0.172413793,0.103448276,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0.999999955,Text/Paragraph,,,TRUE,FALSE
"Jurisdiction-wide digital libraries are very practical and very real. The ODL we propose is leading edge for Ontario but several jurisdictions have forged the path with collaborative digital libraries. We can learn from their experiences. For example, The Alberta Library TAL RFP: To Develop the Ontario Digital Library Business Plan March 2003 3","[0, 0, 100, 20]",3,10.17,53,0,0.147,0.150943396,0.351851852,0,0,-20,0,1,0,3.48,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"was incorporated in 1997 as a province-wide library consortium. TAL works collaboratively with its members to promote universal access to materials and resources in more than 250 public, post-secondary, special, government and regional libraries. Unlike ODL, TAL does not include elementary or secondary schools. However, the timeline and funding we are proposing for ODL is comparable to TAL‘s experience. TAL’s business planning took several years. TAL’s implementation plan was supported by 8 million dollars in provincially shared funding, spread over three years, later revised to 15 million dollars over 4 years. Not only is Alberta’s population 30% of Ontario’s, TAL does not include elementary or secondary schools as partners; it has 250 member libraries. ODL envisions universal access for all 10,000,000 Ontarians, with more than 5000 Ontario libraries as partners. Although ODL can learn from TAL’s practices, the scope of planning and implementing ODL is much larger than TAL.","[0, 0, 100, 20]",4,11.04,149,0,0.4205,0.142857143,0.132075472,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"The ODL will be a partnership-based organization providing seamless electronic information services and resources to the citizens of Ontario. It will use local libraries as the entry point for common resources The ODL will recognize the unique responsibilities and needs of public libraries, school libraries, college and university libraries and special libraries. The ODL envisions a digital network of information resources, allowing members to collaborate when there is mutual benefit and to support the common mandates of local libraries. The principles which will define and guide the ODL are:","[0, 0, 100, 20]",4,11.04,89,0,0.2555,0.134831461,0.111111111,1,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
Equitable access for all Ontarians:,"[0, 0, 100, 20]",4,11.04,5,0,0.0155,0,0.4,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.786732609,Title/Heading,,,TRUE,TRUE
"We will bring consistent, high-quality electronic resources and services to 10 million Ontario citizens","[0, 0, 100, 20]",4,11.04,14,0,0.045,0.071428571,0.133333333,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.999989695,Text/Paragraph,,,TRUE,FALSE
We will eliminate barriers to the access to information and create more consistent services for library clients.,"[0, 0, 100, 20]",4,11.04,17,0,0.048,0.117647059,0.058823529,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999149461,Text/Paragraph,,,TRUE,FALSE
Shared decision-making and accountability:,"[0, 0, 100, 20]",4,11.04,4,0,0.0195,0.25,0.2,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.987739741,Title/Heading,,,TRUE,TRUE
We will facilitate consensus among members regarding ODL’s portfolio of electronic licenses and services,"[0, 0, 100, 20]",4,11.04,14,0,0.0455,0.1875,0.133333333,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.993209316,Text/Paragraph,,,TRUE,FALSE
We will balance the interests and realities of small and large as well as rich and poor communities and institutions.,"[0, 0, 100, 20]",4,11.04,20,0,0.049,0.05,0.05,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999887669,Text/Paragraph,,,TRUE,FALSE
Shared governance structure:,"[0, 0, 100, 20]",4,11.04,3,0,0.013,0.333333333,0.333333333,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.997968194,Title/Heading,,,TRUE,TRUE
We will share decision-making in order to enable the people we serve. We will work based on an underlying assumption of trust and synergy.,"[0, 0, 100, 20]",4,11.04,24,0,0.0575,0.166666667,0.08,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0.999962422,Text/Paragraph,,,TRUE,FALSE
Shared funding:,"[0, 0, 100, 20]",4,11.04,2,0,0.007,0.5,0.5,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.999835336,Title/Heading,,,TRUE,TRUE
"We will leverage provincial, institutional, and local dollars to realize economies of scale and put Ontario dollars to work for everyone .","[0, 0, 100, 20]",4,11.04,22,0,0.0585,0.19047619,0.095238095,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999980683,Text/Paragraph,,,TRUE,FALSE
We will be willing to pool talents and dollars in order to provide common services that are truly greater than those that can be maintained by individual institutions. RFP: To Develop the Ontario Digital Library Business Plan March 2003 4,"[0, 0, 100, 20]",4,9.88,40,0,0.0995,0.175,0.25,0,0,-20,0,1,0,3.48,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
Local points of entry:,"[0, 0, 100, 20]",5,11.04,4,0,0.0095,0,0.25,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.869085645,Title/Heading,,,TRUE,TRUE
"We will provide the licenses, infrastructure, services and support that enable local libraries to provide exceptional services to their clientele. ODL will focus on support, providing the underpinning, not overshadowing.","[0, 0, 100, 20]",5,11.04,30,0,0.0955,0.166666667,0.066666667,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999999957,Text/Paragraph,,,TRUE,FALSE
Services envisioned for the ODL’s include:,"[0, 0, 100, 20]",5,11.04,6,0,0.0185,0.125,0.285714286,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0.722434146,Title/Heading,,,FALSE,TRUE
Access:,"[0, 0, 100, 20]",5,11.04,1,0,0.0035,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.996656532,Title/Heading,,,TRUE,TRUE
"to the “deep” web i.e. Commercial, purchased electronic services to credible web sites and electronic resources to digital government information to local digital collections","[0, 0, 100, 20]",5,11.04,24,0,0.0755,0,0.04,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999999981,Text/Paragraph,,,TRUE,FALSE
Guidance and Advice:,"[0, 0, 100, 20]",5,11.04,3,0,0.009,0,0.666666667,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.96937263,Title/Heading,,,TRUE,TRUE
"to support e-learning to support citizens, in real-time, as they try to use electronic resources to assist citizens as they use web-links","[0, 0, 100, 20]",5,11.04,22,0,0.058,0.272727273,0,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999993504,Text/Paragraph,,,TRUE,FALSE
Training:,"[0, 0, 100, 20]",5,11.04,1,0,0.0045,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.996518395,Title/Heading,,,TRUE,TRUE
for library workers for the general public,"[0, 0, 100, 20]",5,11.04,7,0,0.018,0,0,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.900366162,Text/Paragraph,,,TRUE,FALSE
Provincial Purchasing & Licensing:,"[0, 0, 100, 20]",5,11.04,4,0,0.0155,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.94984655,Title/Heading,,,TRUE,TRUE
of electronic content on a consortia basis for all member libraries,"[0, 0, 100, 20]",5,11.04,11,0,0.0285,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.975052694,Text/Paragraph,,,TRUE,FALSE
Technological Support:,"[0, 0, 100, 20]",5,11.04,2,0,0.0105,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.962396206,Title/Heading,,,TRUE,TRUE
of common standards for the preservation and archiving local digital content of a common interface to ODL resources and services that can be imbedded in local library web sites,"[0, 0, 100, 20]",5,11.04,29,0,0.074,0.103448276,0.034482759,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999999897,Text/Paragraph,,,TRUE,FALSE
What could the ODL really mean?,"[0, 0, 100, 20]",5,11.04,6,0,0.013,0.166666667,0.333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.753018184,Title/Heading,,,TRUE,TRUE
For each Ontario citizen it could mean:,"[0, 0, 100, 20]",5,11.04,7,0,0.0165,0.285714286,0.285714286,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.938349989,Title/Heading,,,TRUE,TRUE
"One local point of entry to access seamless electronic library services and resources for their personal, educational and professional needs; Access to credible, high-quality, user-friendly electronic services through their community, school, or academic library; Confidence that the electronic services and sources they – and their children – are using are safe, valid, and bringing them both global and local perspectives; Electronic information and tools that enhance job skills and the learning experience","[0, 0, 100, 20]",5,11.04,72,0,0.219,0.097222222,0.055555556,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
For each Ontario student it could mean:,"[0, 0, 100, 20]",5,11.04,7,0,0.0165,0.142857143,0.285714286,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.905540066,Title/Heading,,,TRUE,TRUE
"One local point of entry to quality, curriculum- based electronic information resources and services Connection to their individual educational environment, whether at the elementary, secondary or post-secondary levels RFP: To Develop the Ontario Digital Library Business Plan March 2003 5","[0, 0, 100, 20]",5,10.34,40,0,0.125,0.075,0.268292683,0,0,-20,0,1,0,3.48,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"Confidence that the services and resources people are using are credible, available when they need them and adaptable to different learning styles","[0, 0, 100, 20]",6,11.04,22,0,0.0625,0.181818182,0.045454545,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0.999997389,Text/Paragraph,,,TRUE,FALSE
For each Ontario library it could mean:,"[0, 0, 100, 20]",6,11.04,7,0,0.0165,0.285714286,0.285714286,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.938349989,Title/Heading,,,TRUE,TRUE
"One point of entry for themselves and their clientele to quality electronic resources and services that support and enhance their collections, programs and services","[0, 0, 100, 20]",6,11.04,24,0,0.0705,0.083333333,0.041666667,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999990147,Text/Paragraph,,,TRUE,FALSE
"The opportunity to show case their local community, collections, services, and expertise","[0, 0, 100, 20]",6,11.04,12,0,0.0385,0.083333333,0.083333333,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.953161708,Text/Paragraph,,,TRUE,FALSE
"The opportunity to gain from the provincial, collaborative partnership in order to provide a seamless gateway to digital resources and services","[0, 0, 100, 20]",6,11.04,21,0,0.0615,0.095238095,0.047619048,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999958462,Text/Paragraph,,,TRUE,FALSE
For the Ontario government it could mean:,"[0, 0, 100, 20]",6,11.04,7,0,0.0175,0.142857143,0.285714286,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.902007549,Title/Heading,,,TRUE,TRUE
"A point of entry to information services and resources for all Ontario citizens, connecting to portal initiatives . Support of the Ontario E-Learning strategy through a collaborative digital library initiative that positions Ontario on the global e-learning scene Improved access and flexibility for all students at all ages and stages supports Ontario’s lifelong learning strategy The opportunity to address emerging job skills shortages and facilitate school to work and job to job transitions with the necessary information and knowledge supports and tools","[0, 0, 100, 20]",6,11.04,82,0,0.239,0.060240964,0.119047619,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
ODL will be an incorporated non-profit organization governed by a Board of Directors elected by a voting membership. The Board will include representatives from all stakeholders. We envision a governance model similar to that prepared for the province’s ORION network.,"[0, 0, 100, 20]",6,11.04,40,0,0.1145,0.142857143,0.166666667,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"More information regarding the envisioned phasing, funding and resources required for the ODL can be found in the appendixes.","[0, 0, 100, 20]",6,11.04,19,0,0.0535,0.210526316,0.105263158,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.999919724,Text/Paragraph,,,TRUE,FALSE
The Business Plan to be Developed,"[0, 0, 100, 20]",6,12,6,0,0.014,0.333333333,0.666666667,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0.999510763,Title/Heading,,,TRUE,TRUE
"The business plan which needs to be developed for the ODL must be a formal business plan that documents and clearly communicates the ODL’s services, funding and governance structures, as well as implementation plans for 2004-2005, and operational plans for 20052007. The planning process must also secure the full commitment of all stakeholders, as represented on the Steering Committee.","[0, 0, 100, 20]",6,11.04,59,0,0.1645,0.114754098,0.098360656,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
"Specifically, the business plan must include: how the ODL will be implemented, including the timeline the financial plan for the implementation the financial plan for the first 2 operating years, including capital and operating costs, revenues, etc. a financial forecast for the succeeding 2 operating years the services and products to be delivered by the ODL how the ODL will operate and be managed following the implementation who will be involved, and what their role/responsibility will be, for both the implementation and operational stages RFP: To Develop the Ontario Digital Library Business Plan March 2003 6","[0, 0, 100, 20]",6,10.72,96,0,0.261,0.177083333,0.134020619,0,0,-20,0,1,0,3.48,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
the marketing and communications plan for the ODL the commitment of all stakeholders to their responsibilities,"[0, 0, 100, 20]",2,11.04,16,0,0.0475,0,0.0625,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.953014875,Text/Paragraph,,,TRUE,FALSE
The process of developing this business plan must be extremely consultative to ensure that all stakeholders are engaged in creating a synergistic ODL organization. The proposal must indicate how this consultative process will be approached.,"[0, 0, 100, 20]",7,11.04,35,0,0.103,0.257142857,0.085714286,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.999999999,Text/Paragraph,,,TRUE,FALSE
"The business plan for the ODL must address significant issues. There are, for example, enormous differences in the financial resources available to libraries mandated to provide similar services. Some post-secondary and public libraries, particularly those in large urban areas, have the facilities, funding and technological infrastructure necessary to service their patrons with electronic services and resources. Many others, particularly in rural regions, do not. The proposal must indicate how these issues will be approached.","[0, 0, 100, 20]",7,11.04,74,0,0.229,0.135135135,0.08,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
Milestones,"[0, 0, 100, 20]",7,12,1,0,0.005,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0.999931489,Title/Heading,,,TRUE,TRUE
"1 A preliminary report will be issued during June 2003. 2 It is expected that an Interim Report, suitable for distribution to the broader library community will be available by August 1, 2003 and that there will be an opportunity for responses to be evaluated. 3 The business plan must be completed and approved by the ODL Steering Committee no later than September 30, 2003.","[0, 0, 100, 20]",7,11.04,65,0,0.1555,0.169230769,0.169230769,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
Approach and Specific Proposal Requirements,"[0, 0, 100, 20]",7,12,5,0,0.0195,0,0.8,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0.998268505,Title/Heading,,,TRUE,TRUE
"The firm/consultant or proposed team of consultants will be expected to work closely with the ODL Steering Committee. Terms of reference for the Committee are in the appendix. Given the consultative nature of this business planning process, the firm/consultant will also be expected to travel and communicate regularly with various stakeholders as well as with electronic resource publishers/vendors.","[0, 0, 100, 20]",7,11.04,58,0,0.1715,0.172413793,0.114754098,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,Text/Paragraph,,,TRUE,FALSE
The proposal should include the following information:,"[0, 0, 100, 20]",7,11.04,7,0,0.024,0.142857143,0.142857143,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0.70760622,Title/Heading,,,FALSE,TRUE
